SVVD,BEFORE_DAYS,AMT,VOLUME
IC8-QNG-589 S,5,3668.7,2
IC8-QNG-589 S,4,65392.94999999997,27
IC8-QNG-589 S,3,69627.59999999998,36
IC8-QNG-589 S,2,42632.099999999984,21
IC8-QNG-589 S,1,38681.999999999985,20
IC8-QNG-589 S,0,38681.999999999985,20
IC8-QNG-591 S,7,76266.75,41
IC8-QNG-591 S,6,107236.5,58
IC8-QNG-591 S,5,166194.0,88
IC8-QNG-591 S,4,172126.5,94
IC8-QNG-591 S,0,5449.5,3
IC8-TNH-351 S,3,50340.15,27
IC8-TNH-351 S,2,36435.0,20
IC8-TNH-351 S,1,25268.25,13
IC8-TNH-351 S,0,29148.0,16
IC8-TNH-352 S,4,174384.0,96
IC8-TNH-352 S,3,134190.0,73
IC8-TNH-352 S,1,30649.5,16
IC8-TNH-352 S,0,30880.5,17
IC9-Q22-110 S,16,160314.0,88
IC9-Q22-110 S,12,63761.25,35
IC9-Q22-110 S,10,277924.5,153
IC9-Q22-110 S,9,208897.5,115
IC9-Q22-110 S,8,417795.0,230
IC9-Q22-110 S,5,83559.0,46
IC9-Q22-110 S,4,368455.5,201
IC9-Q22-110 S,2,4189.5,2
IC9-Q22-110 S,0,4189.5,2
IC9-Q55-106 S,9,44605.04999999998,23
IC9-Q55-106 S,5,91149.45000000004,47
IC9-Q55-106 S,4,306417.30000000005,158
IC9-Q55-106 S,3,129936.45000000016,67
IC9-Q55-106 S,2,60119.84999999997,31
IC9-Q55-106 S,1,58180.49999999997,30
IC9-Q55-106 S,0,5818.049999999999,3
IC9-QPE-297 S,13,148582.3500000002,81
IC9-QPE-297 S,10,150859.80000000022,78
IC9-QPE-297 S,5,288275.40000000026,149
IC9-QPE-297 S,4,100846.20000000007,52
IC9-QPE-297 S,3,31071.59999999999,16
IC9-QPE-297 S,2,11636.1,6
IC9-QPE-297 S,1,1960.35,1
IC9-QPE-297 S,0,38786.999999999985,20
IC9-QUB-095 S,9,15514.800000000001,8
IC9-QUB-095 S,8,973990.5,534
IC9-QUB-095 S,7,119999.25,65
IC9-QUB-095 S,6,25504.5,14
IC9-QUB-095 S,0,63577.5,35
IC9-RIG-103 S,20,163257.15000000026,89
IC9-RIG-103 S,17,154728.00000000023,80
IC9-RIG-103 S,12,62547.44999999997,32
IC9-RIG-103 S,10,70572.59999999998,36
IC9-RIG-103 S,9,256835.25000000052,130
IC9-RIG-103 S,8,133303.80000000016,68
IC9-RIG-103 S,7,29405.249999999993,15
IC9-RIG-103 S,5,3878.7,2
IC9-RIG-103 S,4,3878.7,2
IC9-RIG-103 S,2,84295.05000000002,43
IC9-RIG-103 S,0,11720.1,6
IC9-RIP-352 S,12,158492.25,87
IC9-RIP-352 S,10,34613.25,19
IC9-RIP-352 S,9,3643.5,2
IC9-RIP-352 S,8,326093.25,179
IC9-RIP-352 S,7,225650.25,123
IC9-RIP-352 S,6,270700.5,149
IC9-RIP-352 S,4,3633.0,2
IC9-RIP-352 S,3,1816.5,1
IC9-RIP-352 S,0,14532.0,8
IC9-RZD-216 S,9,130238.85000000017,71
IC9-RZD-216 S,7,17406.9,9
IC9-RZD-216 S,6,257317.20000000054,132
IC9-RZD-216 S,5,69709.49999999999,35
IC9-RZD-216 S,4,67693.49999999997,35
IC9-RZD-216 S,3,146991.6000000002,76
IC9-RZD-216 S,2,110926.2000000001,57
IC9-RZD-216 S,1,11604.6,6
IC9-RZD-216 S,0,3868.2,2
