,before_days,average_count,num,SVVD,FLOW
0,0.0,1.0909090909090908,large,IC10-QNV-151 S,新港_南沙
1,1.0,0.5454545454545454,large,IC10-QNV-151 S,新港_南沙
2,2.0,1.7272727272727273,large,IC10-QNV-151 S,新港_南沙
3,3.0,0.2727272727272727,large,IC10-QNV-151 S,新港_南沙
4,4.0,3.5454545454545454,large,IC10-QNV-151 S,新港_南沙
5,5.0,0.5454545454545454,large,IC10-QNV-151 S,新港_南沙
6,6.0,0.18181818181818182,large,IC10-QNV-151 S,新港_南沙
7,7.0,0.45454545454545453,large,IC10-QNV-151 S,新港_南沙
8,9.0,0.09090909090909091,large,IC10-QNV-151 S,新港_南沙
9,14.0,0.7272727272727273,large,IC10-QNV-151 S,新港_南沙
10,15.0,2.8181818181818183,large,IC10-QNV-151 S,新港_南沙
0,0.0,1.2727272727272727,large,IC10-R27-061 S,新港_南沙
1,1.0,3.3636363636363638,large,IC10-R27-061 S,新港_南沙
2,2.0,5.0,large,IC10-R27-061 S,新港_南沙
3,3.0,2.4545454545454546,large,IC10-R27-061 S,新港_南沙
4,4.0,3.8181818181818183,large,IC10-R27-061 S,新港_南沙
5,5.0,0.5454545454545454,large,IC10-R27-061 S,新港_南沙
6,6.0,0.18181818181818182,large,IC10-R27-061 S,新港_南沙
7,7.0,0.45454545454545453,large,IC10-R27-061 S,新港_南沙
8,8.0,0.7272727272727273,large,IC10-R27-061 S,新港_南沙
9,9.0,2.6363636363636362,large,IC10-R27-061 S,新港_南沙
10,14.0,0.7272727272727273,large,IC10-R27-061 S,新港_南沙
11,15.0,2.8181818181818183,large,IC10-R27-061 S,新港_南沙
0,0.0,2.1818181818181817,large,IC10-R3N-080 S,新港_南沙
1,1.0,6.909090909090909,large,IC10-R3N-080 S,新港_南沙
2,2.0,7.0,large,IC10-R3N-080 S,新港_南沙
3,3.0,4.2727272727272725,large,IC10-R3N-080 S,新港_南沙
4,4.0,4.0,large,IC10-R3N-080 S,新港_南沙
5,5.0,0.9090909090909091,large,IC10-R3N-080 S,新港_南沙
6,6.0,0.18181818181818182,large,IC10-R3N-080 S,新港_南沙
7,7.0,0.45454545454545453,large,IC10-R3N-080 S,新港_南沙
8,8.0,0.7272727272727273,large,IC10-R3N-080 S,新港_南沙
9,9.0,2.6363636363636362,large,IC10-R3N-080 S,新港_南沙
10,10.0,0.18181818181818182,large,IC10-R3N-080 S,新港_南沙
11,11.0,3.909090909090909,large,IC10-R3N-080 S,新港_南沙
12,14.0,0.7272727272727273,large,IC10-R3N-080 S,新港_南沙
13,15.0,2.8181818181818183,large,IC10-R3N-080 S,新港_南沙
0,0.0,3.5454545454545454,large,IC10-QB3-055 S,新港_南沙
1,1.0,10.727272727272727,large,IC10-QB3-055 S,新港_南沙
2,2.0,8.090909090909092,large,IC10-QB3-055 S,新港_南沙
3,3.0,5.090909090909091,large,IC10-QB3-055 S,新港_南沙
4,4.0,4.0,large,IC10-QB3-055 S,新港_南沙
5,5.0,0.9090909090909091,large,IC10-QB3-055 S,新港_南沙
6,6.0,0.18181818181818182,large,IC10-QB3-055 S,新港_南沙
7,7.0,2.090909090909091,large,IC10-QB3-055 S,新港_南沙
8,8.0,1.2727272727272727,large,IC10-QB3-055 S,新港_南沙
9,9.0,2.909090909090909,large,IC10-QB3-055 S,新港_南沙
10,10.0,1.0,large,IC10-QB3-055 S,新港_南沙
11,11.0,3.909090909090909,large,IC10-QB3-055 S,新港_南沙
12,14.0,0.7272727272727273,large,IC10-QB3-055 S,新港_南沙
13,15.0,2.8181818181818183,large,IC10-QB3-055 S,新港_南沙
14,17.0,0.5454545454545454,large,IC10-QB3-055 S,新港_南沙
15,18.0,1.5454545454545454,large,IC10-QB3-055 S,新港_南沙
0,0.0,5.818181818181818,large,IC10-Q40-105 S,新港_南沙
1,1.0,14.818181818181818,large,IC10-Q40-105 S,新港_南沙
2,2.0,11.272727272727273,large,IC10-Q40-105 S,新港_南沙
3,3.0,5.363636363636363,large,IC10-Q40-105 S,新港_南沙
4,4.0,4.2727272727272725,large,IC10-Q40-105 S,新港_南沙
5,5.0,0.9090909090909091,large,IC10-Q40-105 S,新港_南沙
6,6.0,0.7272727272727273,large,IC10-Q40-105 S,新港_南沙
7,7.0,2.090909090909091,large,IC10-Q40-105 S,新港_南沙
8,8.0,1.2727272727272727,large,IC10-Q40-105 S,新港_南沙
9,9.0,2.909090909090909,large,IC10-Q40-105 S,新港_南沙
10,10.0,1.7272727272727273,large,IC10-Q40-105 S,新港_南沙
11,11.0,3.909090909090909,large,IC10-Q40-105 S,新港_南沙
12,12.0,0.09090909090909091,large,IC10-Q40-105 S,新港_南沙
13,13.0,0.36363636363636365,large,IC10-Q40-105 S,新港_南沙
14,14.0,1.7272727272727273,large,IC10-Q40-105 S,新港_南沙
15,15.0,2.8181818181818183,large,IC10-Q40-105 S,新港_南沙
16,17.0,0.5454545454545454,large,IC10-Q40-105 S,新港_南沙
17,18.0,1.5454545454545454,large,IC10-Q40-105 S,新港_南沙
